,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
170,2020-06-19,-17770.634303090406,9.240183599784357,9.29406333928102,9.418869936104345,9.169256742457696,2020-06-19 05:30:00,2020-06-19 06:00:00,9.21844940471956,9.20918246285334,9.318005197727933,9.100359727978747,2020-06-19 08:00:00,2020-06-19 08:00:00,0.0010565172309392767,0.9275535118011404,0.02626984534083047,0.002901050856716886
171,2020-06-20,-17792.682497283025,9.176288119290502,9.2392704213903,9.363796298539262,9.114744544241338,2020-06-20 05:30:00,2020-06-20 05:30:00,9.07701010198229,9.158064353372122,9.267030257239135,9.049309317436132,2020-06-20 09:30:00,2020-06-20 08:00:00,0.003900982463979158,0.701978715448009,0.05254069814670196,0.005859594743567555
172,2020-06-21,-17779.74992317971,9.233468835093047,9.210051124345734,9.334432301419762,9.085669947271706,2020-06-21 06:00:00,2020-06-21 06:00:00,9.063116810833284,9.087103829535979,9.199153169203377,8.97505448986858,2020-06-21 10:00:00,2020-06-21 09:00:00,0.0015871451201018647,0.9227467713811095,0.027340597005846345,0.003055928454597392
173,2020-06-22,-17741.157671391407,9.374690573671012,9.240420792954545,9.363762950746457,9.117078635162633,2020-06-22 06:00:00,2020-06-22 06:00:00,9.242407675780644,9.112325888497354,9.222948577431332,9.001703199563377,2020-06-22 08:30:00,2020-06-22 08:30:00,0.010490253798887452,0.6419799571618116,0.09207194766333389,0.010062197837297131
174,2020-06-23,-17725.129017231444,9.391084017856569,9.29578394387067,9.421846513518078,9.169721374223263,2020-06-23 06:00:00,2020-06-23 06:00:00,9.275350656815757,9.20284018322313,9.315177161224412,9.090503205221847,2020-06-23 08:00:00,2020-06-23 08:30:00,0.0038258824761784617,0.8364867341831711,0.0529690085201863,0.00576229368170686
175,2020-06-24,-17736.82734447457,9.340945737956954,9.342827631667863,9.471175690191261,9.214479573144464,2020-06-24 05:30:00,2020-06-24 05:30:00,9.268681918971327,9.213124734950956,9.326990756631568,9.099258713270343,2020-06-24 08:00:00,2020-06-24 08:30:00,0.0006128058301316763,0.9671001746556542,0.01671913566821896,0.001834538335046756
176,2020-06-25,-17744.632500212294,9.326707294306118,9.336679227394901,9.463283458862598,9.210074995927204,2020-06-25 06:00:00,2020-06-25 06:00:00,9.236519683759486,9.216341740893979,9.328811217973843,9.103872263814115,2020-06-25 08:00:00,2020-06-25 08:30:00,0.0007276546906259257,0.9632758852732942,0.02116281166284691,0.0023367674993509378
177,2020-06-26,-17820.471241700838,9.30710767148396,9.34359087781413,9.467794492569569,9.219629497494697,2020-06-26 05:30:00,2020-06-26 05:30:00,9.260597079292944,9.264343647447996,9.373035292689217,9.155652002206775,2020-06-26 08:00:00,2020-06-26 08:00:00,0.0007101807023709119,0.9618865961288758,0.02096930310131288,0.0023102910107333356
178,2020-06-27,-17828.34844709245,9.27351045723232,9.314176637804088,9.438334247923795,9.190019027684382,2020-06-27 06:00:00,2020-06-27 05:30:00,9.130240329325694,9.233324411184187,9.343640210522677,9.123008611845696,2020-06-27 09:30:00,2020-06-27 08:30:00,0.002973627777501314,0.7975876945984928,0.03826296784930738,0.004224580591188069
179,2020-06-28,-17831.054034169294,9.30221009473509,9.293528178343017,9.417540001171536,9.169516355514498,2020-06-28 06:00:00,2020-06-28 06:00:00,9.073207071692199,9.15116833099292,9.262812539897359,9.039524122088482,2020-06-28 09:00:00,2020-06-28 09:00:00,0.002204214887537303,0.8965112220718645,0.03609121644628743,0.00402496396484894
180,2020-06-29,-17823.612348936305,9.356758374423784,9.345691511838986,9.468923195208284,9.222459828469688,2020-06-29 05:30:00,2020-06-29 06:00:00,9.249655311459255,9.192751193373184,9.302472878291079,9.083029508455288,2020-06-29 08:30:00,2020-06-29 08:30:00,0.0014678204006012229,0.9386204580003005,0.031053926212601907,0.003415954762863068
181,2020-06-30,-17816.89734534654,9.338532159247464,9.356186935381452,9.477366734166095,9.235007136596808,2020-06-30 06:00:00,2020-06-30 06:00:00,9.266593098026958,9.222249669744343,9.330543971772839,9.113955367715848,2020-06-30 08:30:00,2020-06-30 08:30:00,0.0008612800544151654,0.9571523529674273,0.025063877707966548,0.0027536720150352716
182,2020-07-01,-17807.533868449256,9.283663321794771,9.318919928969386,9.44114403137255,9.196695826566222,2020-07-01 06:00:00,2020-07-01 05:30:00,9.250274292275234,9.213910716641006,9.32266400903929,9.105157424242723,2020-07-01 08:00:00,2020-07-01 08:30:00,0.001271533283296913,0.9304934373561301,0.02897811439881844,0.0031956769590508922
183,2020-07-02,-17815.98838434208,9.221120061786412,9.296589717137437,9.41952975973077,9.173649674544103,2020-07-02 06:00:00,2020-07-02 06:00:00,9.184847163994828,9.20375082381126,9.312632321054387,9.094869326568134,2020-07-02 08:00:00,2020-07-02 08:30:00,0.0016350914788563528,0.8895788675853189,0.031596437468551786,0.0034806383762307318
184,2020-07-03,-17827.24053113144,9.264078275869549,9.260006603171648,9.380577697333628,9.139435509009669,2020-07-03 06:00:00,2020-07-03 06:00:00,9.164196952086876,9.208223294894408,9.313868284342691,9.102578305446125,2020-07-03 08:00:00,2020-07-03 08:00:00,0.00041287073672861954,0.9783214182708185,0.016029426882658848,0.001772465924967039
185,2020-07-04,-17838.176857501592,9.270502769336291,9.261682428359682,9.380928879226644,9.14243597749272,2020-07-04 06:00:00,2020-07-04 06:00:00,9.130212160647313,9.169414868636625,9.275837240617786,9.062992496655465,2020-07-04 09:00:00,2020-07-04 08:30:00,0.0013938631929281372,0.9260148303937732,0.02901338461219523,0.0032289999573858097
186,2020-07-05,-17870.53873802997,9.281667051347036,9.274157005711256,9.390449751352902,9.15786426006961,2020-07-05 06:00:00,2020-07-05 06:00:00,9.073527028208364,9.129187429927232,9.233769973568124,9.025261032830873,2020-07-05 09:00:00,2020-07-05 08:30:00,0.0012222619320805734,0.9440210793212288,0.028753209691334325,0.003212988359027662
187,2020-07-06,-17905.145947080284,9.34603579639395,9.293664101817246,9.408764952848305,9.178563250786187,2020-07-06 05:30:00,2020-07-06 06:00:00,9.245405346612836,9.159749166729508,9.263409471713203,9.056088861745813,2020-07-06 08:30:00,2020-07-06 08:30:00,0.004124525755113282,0.8188601687707864,0.05792501514223888,0.006352239094671259
188,2020-07-07,-17905.98813912296,9.34538948727675,9.321094843302337,9.438021005116438,9.204168681488236,2020-07-07 06:00:00,2020-07-07 06:00:00,9.242721401577189,9.21981363654758,9.324494012472082,9.115133260623077,2020-07-07 08:30:00,2020-07-07 08:30:00,0.001731388368061279,0.9001879900961967,0.030345488018969784,0.003331922905327788
189,2020-07-08,-17914.312837053145,9.336780933977069,9.30125325375441,9.418721343950036,9.183785163558785,2020-07-08 05:30:00,2020-07-08 06:00:00,9.206515064809077,9.19306061850819,9.298083182314613,9.088038054701766,2020-07-08 08:30:00,2020-07-08 08:30:00,0.003947674759848321,0.7704565434549628,0.04938191485332851,0.005421395466026626
