,DAILY_SOLAR_EXPOSURE,DATE
339,24.5,2010-12-06
340,27.9,2010-12-07
341,29.5,2010-12-08
342,12.4,2010-12-09
343,16.4,2010-12-10
344,32.2,2010-12-11
345,32.7,2010-12-12
346,31.9,2010-12-13
347,25.5,2010-12-14
348,28.9,2010-12-15
349,13.1,2010-12-16
350,13.7,2010-12-17
351,9.0,2010-12-18
352,16.2,2010-12-19
353,29.1,2010-12-20
354,33.8,2010-12-21
355,29.7,2010-12-22
356,26.0,2010-12-23
357,17.1,2010-12-24
358,32.2,2010-12-25
359,13.0,2010-12-26
360,6.0,2010-12-27
361,16.1,2010-12-28
362,32.5,2010-12-29
363,32.2,2010-12-30
364,31.8,2010-12-31
365,32.8,2011-01-01
366,25.6,2011-01-02
367,5.8,2011-01-03
368,10.6,2011-01-04
369,20.4,2011-01-05
370,26.9,2011-01-06
371,18.2,2011-01-07
372,26.9,2011-01-08
373,20.2,2011-01-09
374,16.6,2011-01-10
375,5.4,2011-01-11
376,21.0,2011-01-12
377,20.4,2011-01-13
378,22.3,2011-01-14
379,14.7,2011-01-15
380,24.3,2011-01-16
381,30.2,2011-01-17
382,19.3,2011-01-18
383,16.3,2011-01-19
384,26.3,2011-01-20
385,30.5,2011-01-21
386,30.8,2011-01-22
387,26.2,2011-01-23
388,15.9,2011-01-24
389,27.8,2011-01-25
390,21.8,2011-01-26
391,24.0,2011-01-27
392,14.4,2011-01-28
393,23.0,2011-01-29
394,30.5,2011-01-30
395,29.8,2011-01-31
396,29.8,2011-02-01
397,27.7,2011-02-02
398,17.4,2011-02-03
399,23.1,2011-02-04
400,26.5,2011-02-05
401,7.9,2011-02-06
402,11.7,2011-02-07
403,13.5,2011-02-08
404,14.0,2011-02-09
405,17.2,2011-02-10
406,21.4,2011-02-11
407,3.2,2011-02-12
408,4.6,2011-02-13
409,7.9,2011-02-14
410,12.9,2011-02-15
411,12.6,2011-02-16
412,17.9,2011-02-17
413,11.5,2011-02-18
414,20.9,2011-02-19
415,18.5,2011-02-20
416,18.0,2011-02-21
417,16.3,2011-02-22
418,17.3,2011-02-23
419,27.0,2011-02-24
420,20.2,2011-02-25
421,25.4,2011-02-26
422,9.4,2011-02-27
423,14.6,2011-02-28
424,10.4,2011-03-01
425,5.2,2011-03-02
426,23.8,2011-03-03
427,24.8,2011-03-04
428,11.4,2011-03-05
429,19.8,2011-03-06
430,15.7,2011-03-07
431,24.1,2011-03-08
432,12.6,2011-03-09
433,11.2,2011-03-10
434,11.1,2011-03-11
435,18.0,2011-03-12
436,21.8,2011-03-13
437,6.8,2011-03-14
438,10.4,2011-03-15
439,17.4,2011-03-16
440,12.0,2011-03-17
441,9.7,2011-03-18
442,5.6,2011-03-19
443,12.6,2011-03-20
444,4.6,2011-03-21
445,18.8,2011-03-22
446,19.4,2011-03-23
447,19.4,2011-03-24
448,17.9,2011-03-25
449,9.3,2011-03-26
450,11.3,2011-03-27
451,9.6,2011-03-28
452,15.1,2011-03-29
453,15.6,2011-03-30
454,2.9,2011-03-31
455,14.7,2011-04-01
456,12.5,2011-04-02
457,19.4,2011-04-03
458,17.6,2011-04-04
459,11.9,2011-04-05
460,13.6,2011-04-06
461,17.4,2011-04-07
462,15.6,2011-04-08
463,18.8,2011-04-09
464,7.4,2011-04-10
465,13.2,2011-04-11
466,15.4,2011-04-12
467,14.7,2011-04-13
468,17.6,2011-04-14
469,13.4,2011-04-15
470,4.4,2011-04-16
471,12.2,2011-04-17
472,16.8,2011-04-18
473,14.1,2011-04-19
474,6.5,2011-04-20
475,16.1,2011-04-21
476,15.1,2011-04-22
477,5.2,2011-04-23
478,12.2,2011-04-24
479,4.5,2011-04-25
480,6.4,2011-04-26
481,9.8,2011-04-27
482,7.2,2011-04-28
483,8.8,2011-04-29
484,5.6,2011-04-30
485,13.0,2011-05-01
486,5.5,2011-05-02
487,4.0,2011-05-03
488,12.9,2011-05-04
489,12.8,2011-05-05
490,13.5,2011-05-06
491,13.6,2011-05-07
492,13.6,2011-05-08
493,10.0,2011-05-09
494,12.6,2011-05-10
495,8.6,2011-05-11
496,13.4,2011-05-12
497,11.2,2011-05-13
498,12.8,2011-05-14
499,12.7,2011-05-15
500,12.7,2011-05-16
501,12.0,2011-05-17
502,12.0,2011-05-18
503,10.4,2011-05-19
504,11.8,2011-05-20
505,11.4,2011-05-21
506,9.6,2011-05-22
507,9.8,2011-05-23
508,5.5,2011-05-24
509,6.6,2011-05-25
510,9.3,2011-05-26
511,9.0,2011-05-27
512,9.0,2011-05-28
513,5.9,2011-05-29
514,2.5,2011-05-30
515,4.8,2011-05-31
516,7.2,2011-06-01
517,10.1,2011-06-02
518,10.6,2011-06-03
519,5.5,2011-06-04
520,10.7,2011-06-05
521,8.6,2011-06-06
522,8.9,2011-06-07
523,11.0,2011-06-08
524,10.4,2011-06-09
525,6.7,2011-06-10
