,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
18,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-19,32166.50887662938,8025.98,8056.643009932786,9234.50881242921,6879.809957287405,2020-01-19 07:00:00,2020-01-19 05:30:00,7185.49,7245.7345228973,8308.086025860288,6604.058303390167,2020-01-19 11:00:00,2020-01-19 12:00:00,14845.037062155176,0.9654076208772309,107.78220942316511,0.01571626353956336
19,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-20,32165.104338948124,9787.26,8775.350856249042,9904.030606237453,7646.671106260632,2020-01-20 03:30:00,2020-01-20 05:30:00,8905.03,7863.664176668193,8890.660607352933,6850.346365073057,2020-01-20 12:00:00,2020-01-20 12:00:00,594656.5206743982,0.5771317785273904,649.4758155020809,0.07587083532197725
20,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-21,32183.62681643276,9925.09,9721.646762772903,10845.547499095315,8597.746026450492,2020-01-21 04:30:00,2020-01-21 04:30:00,8209.52,8542.880543149788,9576.246444011844,7509.5146422877315,2020-01-21 12:00:00,2020-01-21 12:00:00,47283.00129791524,0.9609497639885352,173.36775105787206,0.020919337890685175
21,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-22,31692.45942519046,11679.1,9785.502873618138,11121.5456875345,8449.460059701774,2020-01-22 04:30:00,2020-01-22 04:30:00,9196.29,8533.805752846925,9662.611862083379,7443.664873066485,2020-01-22 12:00:00,2020-01-22 12:00:00,797177.7143500835,0.6979548265249712,645.5526029856002,0.06351953110572892
22,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-23,32039.409743397573,13330.14,10160.081094656358,11681.22293287761,8638.939256435106,2020-01-23 04:30:00,2020-01-23 04:30:00,11712.42,9007.412505932944,10290.187300458661,7724.637711407226,2020-01-23 12:00:00,2020-01-23 12:00:00,4534438.579671818,0.14194566772197925,1742.4200319831446,0.15073755817214926
23,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-24,32236.955901620106,10052.6,9509.650487796476,10674.75773402414,8348.502053660393,2020-01-24 04:30:00,2020-01-24 04:30:00,9493.3,9213.278387172662,10174.396873836236,9023.605705968683,2020-01-24 09:30:00,2020-01-24 00:00:00,102566.97609448498,0.7713801607160506,267.3699891252946,0.030172359487022935
24,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-25,32330.711503904447,9861.13,8535.387824400863,10115.61690527761,6955.158743524116,2020-01-25 05:30:00,2020-01-25 05:00:00,8455.7,8139.906049194193,9312.698694048087,7670.738369045399,2020-01-25 12:00:00,2020-01-25 09:30:00,549547.4554237765,0.4859436910899406,583.3126215247834,0.06607930753946357
25,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-26,32324.124239140783,10840.67,10018.987122723185,11445.453179333439,8592.521066112931,2020-01-26 05:30:00,2020-01-26 04:30:00,9536.49,8796.074202763375,10008.869697418928,7679.117979613657,2020-01-26 12:00:00,2020-01-26 12:00:00,360664.8313795782,0.8307243931849684,521.3643283733122,0.05765764180351484
26,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-27,31899.08631109433,11056.05,10047.717097408593,11471.73044558947,8623.703749227716,2020-01-27 05:30:00,2020-01-27 04:30:00,8791.17,8776.413950640712,9977.957335118137,7730.167415899388,2020-01-27 12:00:00,2020-01-27 12:00:00,307123.85601413465,0.84501304191568,445.45203553710644,0.0517519543861518
27,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-28,32554.061740756613,12349.85,9952.496383599191,11617.953157210688,8287.039609987694,2020-01-28 04:00:00,2020-01-28 05:30:00,10699.19,8339.746319631016,9705.537812235378,7677.311869269246,2020-01-28 12:00:00,2020-01-28 12:00:00,2872177.2437525094,0.11696159914638593,1373.4093900623004,0.12883264421071577
28,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-29,32284.65203259086,10778.14,11017.59056202595,12180.766176627774,9854.414947424124,2020-01-29 04:30:00,2020-01-29 04:30:00,9477.21,9467.00518207452,10527.771537529263,8406.238826619776,2020-01-29 12:00:00,2020-01-29 12:00:00,122102.5214256805,0.9071144513013498,302.96370683810414,0.0345523586642879
29,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-30,32376.451509573595,11979.43,11240.978179520263,12805.860821140895,9676.095537899631,2020-01-30 04:30:00,2020-01-30 04:30:00,9472.85,9820.66745289979,11140.45136704915,8500.88353875043,2020-01-30 12:00:00,2020-01-30 12:00:00,253347.1479890364,0.9094668387079058,397.25136056081175,0.043485851928028195
