,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
10,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-11,30886.712793244693,7716.93,10650.841576975427,11861.50120638537,9450.929695463445,2020-01-11 05:00:00,2020-01-11 04:00:00,8302.9,9423.807807630816,10451.900968056474,8395.714647205157,2020-01-11 00:00:00,2020-01-11 12:00:00,3902846.445374346,-26.379735003472327,1710.3822902038762,0.23413160932176055
11,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-12,30704.51106075619,7690.59,8495.233054775443,9473.775621940946,7516.69048760994,2020-01-12 05:30:00,2020-01-12 04:30:00,7040.43,7335.431355412708,8206.287985746567,6480.652008937622,2020-01-12 09:30:00,2020-01-12 12:00:00,260401.109708047,0.21234528412868448,385.3040409214186,0.05481490759182592
12,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-13,31102.82506558696,8671.97,9076.055262864804,9990.708042445473,8161.402483284135,2020-01-13 05:30:00,2020-01-13 04:30:00,7640.2,7694.408080097117,8529.519432949937,6859.296727244296,2020-01-13 11:00:00,2020-01-13 12:00:00,78937.98853620612,0.8856071409115476,227.1007497614133,0.029802998556438903
13,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-14,30702.678660847716,9412.35,9353.484222464209,10536.609206561705,8170.359238366713,2020-01-14 04:30:00,2020-01-14 04:30:00,8267.39,7917.273711072902,8916.966403842496,6976.193814861564,2020-01-14 12:00:00,2020-01-14 12:00:00,76931.89496500594,0.9204514661187441,211.23352364002304,0.026577791174167625
14,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-15,30654.58179337309,9524.55,9279.412622460462,10461.36720230406,8097.458042616865,2020-01-15 04:30:00,2020-01-15 04:30:00,8450.73,8119.10027023146,9117.203425032545,7120.997115430374,2020-01-15 12:00:00,2020-01-15 12:00:00,120994.03114528158,0.8882480810907298,309.0241240576727,0.036488227294902725
15,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-16,30730.59870935744,9316.72,9614.37394945848,10782.18113882344,8446.566760093521,2020-01-16 04:30:00,2020-01-16 04:30:00,8814.88,8631.753020306493,9627.739815924788,7635.766224688198,2020-01-16 11:30:00,2020-01-16 12:00:00,89674.70091296655,0.8776273132421168,265.51670177746286,0.03223370397817769
16,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-17,30664.032525693172,8264.99,9476.580448278137,10455.582124957784,8497.57877159849,2020-01-17 04:30:00,2020-01-17 04:30:00,8401.15,8343.229326162666,9214.755765325837,7471.702886999493,2020-01-17 11:00:00,2020-01-17 12:00:00,372125.535606368,0.20777457960917445,467.2554141031105,0.05891044792256215
17,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-18,30674.92490515357,7744.74,8529.053177965443,9512.444767090808,7545.661588840077,2020-01-18 07:00:00,2020-01-18 04:30:00,7708.16,7767.866467463177,8635.255794518825,6940.840898587116,2020-01-18 09:30:00,2020-01-18 11:00:00,215217.732065266,0.25514987139310796,352.14600334044843,0.04815144645560404
18,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-19,30685.949920486364,8025.98,8374.60334057951,9360.351625625612,7388.855055533409,2020-01-19 07:00:00,2020-01-19 04:30:00,7185.49,7522.751481252701,8361.3759638874,6718.167371895695,2020-01-19 11:00:00,2020-01-19 09:30:00,125059.15799628063,0.7085831589326079,293.31740090397136,0.04132594499467048
19,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-20,30675.435096880927,9787.26,8653.412150862223,9649.13347407109,7666.038108894332,2020-01-20 03:30:00,2020-01-20 04:30:00,8905.03,7755.119732415658,8632.455920028242,6877.783544803075,2020-01-20 12:00:00,2020-01-20 12:00:00,674892.2067630767,0.5200751068264307,704.8185763272389,0.0815254949915267
20,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-21,30753.86935347234,9925.09,9303.428757311245,10384.805810824906,8222.051703797584,2020-01-21 04:30:00,2020-01-21 04:30:00,8209.52,8295.411924888438,9234.765474664635,7356.05837511224,2020-01-21 12:00:00,2020-01-21 12:00:00,112206.18656994663,0.9073307965394306,260.90759976934555,0.030138388913352285
21,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-22,30800.066589910504,11679.1,9726.621483180617,10927.582567844473,8525.660398516762,2020-01-22 04:30:00,2020-01-22 04:30:00,9196.29,8543.273398361358,9555.970368454822,7550.367876873072,2020-01-22 12:00:00,2020-01-22 12:00:00,860116.1751392772,0.6741078750044789,669.8001144725762,0.06590304947857943
