,label,value,std_error,z_score,p_value,significance,eval_date
4,intercept,10608.149209587322,0.01938075475490351,547354.80345023,0.0,***,2020-10-19
5,rainfall,3.7167226801726088,0.3788899201567491,9.809505300734783,0.0,***,2020-10-19
6,pv_capacity,-6.682584713670678,0.9258192229100795,-7.218023290406152,5.275779813018744e-13,***,2020-10-19
3,sma1,-0.6694611454605474,0.025602819644146985,-26.147945998345993,0.0,***,2020-10-19
18,temp_9^2,-0.00824758599167865,0.09539968820154995,-0.08645296590754112,0.9311063437914449,,2020-10-20
17,temp_1^2,0.5438714420137959,0.05168317686562907,10.523181332831097,0.0,***,2020-10-20
16,temperature^2,0.3962226261849784,0.043277131949540644,9.155473302781656,0.0,***,2020-10-20
15,cos_336_1,4.972676471264558,4.695091279939345,1.0591224269720265,0.289544027455511,,2020-10-20
14,sin_336_1,16.5184922893148,7.726976900932925,2.137769078528036,0.0325354898121899,*,2020-10-20
13,lag_48*7,0.24861126533159705,0.018649775690047138,13.33052308314217,0.0,***,2020-10-20
12,solar_16,0.18577620015959617,0.0851275388093775,2.182327866609617,0.02908534378182237,*,2020-10-20
11,solar_4,-0.854429441204807,0.09181745410489901,-9.305740934927732,0.0,***,2020-10-20
10,temp_9,-0.9762000088169387,3.5287659212562805,-0.27664062468314715,0.7820560675982935,,2020-10-20
9,temp_1,-20.667961200558487,1.3383160577064175,-15.443258773999077,0.0,***,2020-10-20
7,temperature,-18.664651418912456,0.19744180793119734,-94.53241749800294,0.0,***,2020-10-20
0,ar1,0.9736228264977747,0.004058923196855256,239.87219744687738,0.0,***,2020-10-20
1,ma1,0.3814062942883369,0.014088014595564389,27.073104709049822,0.0,***,2020-10-20
2,sar1,0.9842951203227588,0.0034250042768259087,287.3850777304562,0.0,***,2020-10-20
8,solar_power,-0.7073441716643742,0.09938133277273922,-7.117475203133945,1.099120794378905e-12,***,2020-10-20
4,intercept,7793.353028287074,0.03050862690755858,255447.51823479324,0.0,***,2020-10-20
5,rainfall,3.6040740742240303,5.538516198234868,0.6507291746068474,0.515221326768994,,2020-10-20
6,pv_capacity,-2.4632100171574507,1.0876863595806234,-2.2646326263640786,0.02353523304618088,*,2020-10-20
3,sma1,-0.696263730918337,0.025717665810828638,-27.073364124094397,0.0,***,2020-10-20
10,temp_9,0.6941028759097492,0.16618745558271117,4.176626168780204,2.9586466661291055e-05,***,2020-10-21
17,temp_1^2,0.5472200375808944,0.04243598022478671,12.89519022966424,0.0,***,2020-10-21
16,temperature^2,0.4173493606247591,0.04240593210518922,9.841768354236647,0.0,***,2020-10-21
15,cos_336_1,6.002303491018238,0.04259698037197651,140.90913108401935,0.0,***,2020-10-21
14,sin_336_1,18.339620478783566,0.1792356844783626,102.32125668590024,0.0,***,2020-10-21
13,lag_48*7,0.24961623075801675,0.017328849803815095,14.404662374248382,0.0,***,2020-10-21
12,solar_16,0.18168680948160665,0.07121737544502861,2.5511584546084176,0.010736549999214029,*,2020-10-21
11,solar_4,-0.8572577978872769,0.07885207300533366,-10.871721759671313,0.0,***,2020-10-21
9,temp_1,-20.882901389072178,0.08460011935916763,-246.84245775605063,0.0,***,2020-10-21
18,temp_9^2,-0.042534464375716875,0.042893457395450814,-0.9916305879373573,0.32137776240334404,,2020-10-21
7,temperature,-20.05672408768214,0.022692088096293996,-883.8641910154467,0.0,***,2020-10-21
0,ar1,0.9728754783254516,0.003849843761677509,252.70518456092782,0.0,***,2020-10-21
1,ma1,0.38352599745773397,0.015837373007422172,24.21651603949688,0.0,***,2020-10-21
2,sar1,0.9862745562266798,0.0031297674553443207,315.1271045848916,0.0,***,2020-10-21
8,solar_power,-0.7046597419118399,0.07148459764250455,-9.857504485593568,0.0,***,2020-10-21
4,intercept,6135.726711780069,0.019140860237320124,320556.47633938945,0.0,***,2020-10-21
5,rainfall,2.468532205098114,0.47279033351914623,5.221198552694496,1.7776881566788916e-07,***,2020-10-21
6,pv_capacity,-0.09023868691764392,0.4472327553872357,-0.2017711937031779,0.840095602452547,,2020-10-21
3,sma1,-0.7307101897233081,0.024150685282758683,-30.256292157679123,0.0,***,2020-10-21
10,temp_9,1.653893002236245,0.9684309385001755,1.7078068620955622,0.08767218539621946,.,2020-10-22
17,temp_1^2,0.5632869208099447,0.08871630407556438,6.349305538361509,2.1628898672076957e-10,***,2020-10-22
16,temperature^2,0.447293083960492,0.09643314719266229,4.638374842903883,3.5115948053832113e-06,***,2020-10-22
15,cos_336_1,4.7211583994702595,0.0899095359136504,52.510096415184314,0.0,***,2020-10-22
14,sin_336_1,19.009842415568656,0.9261437066097454,20.52580207574519,0.0,***,2020-10-22
13,lag_48*7,0.24861589371363735,0.01875432477781894,13.256456665807537,0.0,***,2020-10-22
12,solar_16,0.18494655164148277,0.0810518663849197,2.2818296467494235,0.02249939973345061,*,2020-10-22
11,solar_4,-0.8713312607490522,0.08682617558083254,-10.035352299236873,0.0,***,2020-10-22
18,temp_9^2,-0.05590535285512455,0.04923538550338519,-1.1354710089815538,0.2561780222099852,,2020-10-22
9,temp_1,-21.80630300365257,2.9192149664999496,-7.4699202538680005,8.01581023779363e-14,***,2020-10-22
7,temperature,-21.613371861247117,3.2772038877466185,-6.595064756898086,4.250710894382337e-11,***,2020-10-22
6,pv_capacity,1.8458954130042002,0.9742286457865447,1.8947250432303953,0.05812883815356118,.,2020-10-22
5,rainfall,2.4039139858523697,2.718393959708643,0.8843140550937734,0.37652670311947567,,2020-10-22
4,intercept,4888.044348936145,0.01991953992701212,245389.41997890506,0.0,***,2020-10-22
3,sma1,-0.7793845650730028,0.02104621936085064,-37.03204607487765,0.0,***,2020-10-22
2,sar1,0.989520469392494,0.002650676396405582,373.3086659444063,0.0,***,2020-10-22
1,ma1,0.37826391845621765,0.014921602418037416,25.350086931613163,0.0,***,2020-10-22
0,ar1,0.9715267433153578,0.0044222730731835035,219.6894509311646,0.0,***,2020-10-22
