,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
54,2020-02-24,-16987.259224742138,9.150507561594317,9.014475419841814,9.198713753395703,8.830237086287925,2020-02-24 04:30:00,2020-02-24 05:30:00,9.033673596725686,8.926521080303676,9.079409486794338,8.823312437904535,2020-02-24 08:30:00,2020-02-24 09:00:00,0.010486917466798825,0.3823929105982419,0.08965373766280411,0.00991167678739128
55,2020-02-25,-16966.528767508145,9.235346106270544,9.08509143206632,9.27005539596137,8.900362597013585,2020-02-25 04:30:00,2020-02-25 05:30:00,9.056746203934178,9.017108275578156,9.167360177003147,8.90279020327214,2020-02-25 12:00:00,2020-02-25 08:30:00,0.006427390709156399,0.659506374264548,0.06209225015339096,0.006805191433148751
56,2020-02-26,-16994.94145096552,9.229858645122063,9.123781250121676,9.305904417545996,8.943459094421513,2020-02-26 04:30:00,2020-02-26 05:00:00,9.154607764720174,9.003972940119656,9.167585484412404,8.907788632078661,2020-02-26 12:00:00,2020-02-26 12:00:00,0.0058423817684954285,0.7157670295972481,0.05969278362267864,0.006542518455387313
57,2020-02-27,-16982.638398951112,9.107760431378429,9.159300269838415,9.337762215545858,8.980838324130971,2020-02-27 05:30:00,2020-02-27 04:30:00,9.023746903547035,9.054856117976968,9.217445948604231,8.892266287349704,2020-02-27 07:30:00,2020-02-27 12:00:00,0.0026456865651439446,0.7311898783430129,0.0385043167966832,0.004284456487253709
58,2020-02-28,-16956.38335294931,9.054919719408144,9.165065905913906,9.345789969499226,8.984567902641146,2020-02-28 04:30:00,2020-02-28 04:30:00,8.991162696171386,9.039204418769728,9.202351800512025,8.897926862763772,2020-02-28 07:00:00,2020-02-28 08:30:00,0.0068217912617915015,0.0759792400112207,0.07170161514973987,0.008002336594246935
59,2020-02-29,-16939.66646857665,9.027714768964861,9.126296145857365,9.308067736520341,8.94452455519439,2020-02-29 06:00:00,2020-02-29 04:30:00,8.889442030230484,8.99988940119666,9.159040502925444,8.865219534766146,2020-02-29 08:30:00,2020-02-29 07:30:00,0.0095060887860842,-0.22882677657328676,0.08324924760141217,0.009362786963906024
60,2020-03-01,-16991.73544420795,9.188327864692916,9.064068894606853,9.247078052642363,8.881059736571343,2020-03-01 05:30:00,2020-03-01 05:30:00,8.860547407088115,8.936659035338346,9.088835989905515,8.83507135685397,2020-03-01 12:00:00,2020-03-01 08:30:00,0.006055082414979914,0.7364033783022361,0.06514362058388623,0.0072824655235698005
61,2020-03-02,-17004.30698097515,9.33653592299001,9.099370119522456,9.282351671719443,8.91638856732547,2020-03-02 03:00:00,2020-03-02 05:30:00,9.14988098650747,8.895658205104041,9.045477795291399,8.847188190148543,2020-03-02 12:00:00,2020-03-02 08:30:00,0.03156260271580084,0.06855594955163224,0.13983300150804126,0.015261083722603522
62,2020-03-03,-17002.606861491473,9.081065052267592,9.177586152744828,9.358773625586325,8.996398679903331,2020-03-03 04:30:00,2020-03-03 04:30:00,9.06232516491612,9.00140464611631,9.166363701077422,8.888624946211625,2020-03-03 10:00:00,2020-03-03 12:00:00,0.003742330351686852,0.6570293619046008,0.05145696352843846,0.0056998078381740825
63,2020-03-04,-17000.272517130787,9.085710953232734,9.120680240389527,9.297975402926058,8.943726771311532,2020-03-04 04:30:00,2020-03-04 04:30:00,9.082967121866936,8.978923815796447,9.14063897139689,8.856862898311089,2020-03-04 09:30:00,2020-03-04 12:00:00,0.003345419812874757,0.755253459816366,0.04248527788918218,0.004698571208195266
64,2020-03-05,-16993.2515173205,9.103597790594243,9.155810016444924,9.331496038698834,8.980123994191015,2020-03-05 04:30:00,2020-03-05 04:30:00,9.107531043715044,9.042351487300218,9.203200317682043,8.881502656918393,2020-03-05 10:00:00,2020-03-05 12:00:00,0.00173589399220303,0.8784861359340362,0.03326640831642199,0.0036727101032867
65,2020-03-06,-16981.94716265673,9.068896616145274,9.145028579763927,9.320979901907261,8.969077257620594,2020-03-06 04:30:00,2020-03-06 04:30:00,9.057456056637502,9.094269678764903,9.255195733631423,8.94209259200225,2020-03-06 12:00:00,2020-03-06 10:00:00,0.0019044924442800006,0.8320000049755758,0.037897540821074514,0.004204081946742418
66,2020-03-07,-17002.13634138612,8.946511535546561,9.068083385831248,9.243355610447082,8.892811161215413,2020-03-07 06:30:00,2020-03-07 04:30:00,8.90591355214427,9.050029175920546,9.206454830309696,8.89927687606877,2020-03-07 08:30:00,2020-03-07 11:00:00,0.018068431383713075,-2.8678234181580953,0.11724556189025932,0.013236803011860901
