,eval_date,model aic,peak_actual,peak_predicted,time_of_peak_actual,time_of_peak_predicted,mse,r2,mae,mape
20,2020-01-21,-17480.374657679546,9.202921923202794,9.119725354157621,2020-01-21 17:00:00,2020-01-21 17:00:00,0.001992337534302118,0.8972750567241231,0.037708146499087304,0.0041671498690019826
21,2020-01-22,-17524.45012726215,9.365641817989403,9.179192051340111,2020-01-22 17:00:00,2020-01-22 17:00:00,0.00921605137510654,0.7309550071089631,0.07378600446655281,0.008006462786572783
22,2020-01-23,-17531.66860437594,9.497857930896355,9.320446511457947,2020-01-23 17:00:00,2020-01-23 17:00:00,0.022479593665930882,0.6108248144504163,0.12253547747378597,0.01309779154301651
23,2020-01-24,-17534.326685627675,9.215686058300935,9.393672427134497,2020-01-24 17:00:00,2020-01-24 17:00:00,0.014150269030909665,-1.3936128301472719,0.09288309453499766,0.01017458370359654
24,2020-01-25,-17522.338093601793,9.196457448607553,9.286613854841848,2020-01-25 18:00:00,2020-01-25 17:00:00,0.005796051374665499,0.643922383992501,0.06580518792030528,0.007279227681788853
25,2020-01-26,-17630.083790718854,9.291152322168353,9.270805018936194,2020-01-26 18:00:00,2020-01-26 17:00:00,0.0009011548164661291,0.9691984160981088,0.023175550585988525,0.002557832558690946
26,2020-01-27,-17657.772978285713,9.310823512554427,9.247753094988393,2020-01-27 18:00:00,2020-01-27 17:00:00,0.001562856870951781,0.941828854192822,0.03201856674590083,0.0035221237060832447
27,2020-01-28,-17687.59253897112,9.42148016559866,9.29179331009767,2020-01-28 16:30:00,2020-01-28 18:00:00,0.016928211224187927,0.5458096858317463,0.10719661727913916,0.011611214457077782
28,2020-01-29,-17546.16799376558,9.285368063915113,9.393633597408932,2020-01-29 17:00:00,2020-01-29 17:00:00,0.006017773150981176,0.6538131352508052,0.06594144018990533,0.007204143793238385
29,2020-01-30,-17496.905114776135,9.391029764180555,9.349575630996151,2020-01-30 17:00:00,2020-01-30 17:00:00,0.0010438638881310205,0.969961098712008,0.0271450198198957,0.0029673122418278127
30,2020-01-31,-17507.23170129746,9.483778479104569,9.36054578003116,2020-01-31 15:30:00,2020-01-31 17:00:00,0.011375690707144476,0.7411874467197411,0.08578648756840453,0.009178315056265544
31,2020-02-01,-17465.15912580832,9.520441498832751,9.432181870309611,2020-02-01 17:30:00,2020-02-01 17:00:00,0.009540312560817632,0.8079486607089749,0.08483131016540846,0.00910502024574268
