,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
97,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-07,31055.120037602584,8723.16,8369.022125097032,9552.528964593072,7186.312220014455,2020-04-07 06:00:00,2020-04-07 06:00:00,7367.35,7522.231498416244,8342.235768803706,7083.150544163934,2020-04-07 08:30:00,2020-04-07 08:00:00,50450.45519985669,0.8769405529650232,187.9808346138892,0.026546256002884416
98,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-08,31020.62504429872,8639.7,8263.766707609288,9436.332147284667,7091.201267933907,2020-04-08 06:00:00,2020-04-08 06:00:00,7432.41,7643.268222052662,8538.614305949923,7093.995211786345,2020-04-08 12:00:00,2020-04-08 09:30:00,53715.899577571014,0.8791021676995384,195.06910595068226,0.02773441853463829
99,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-09,30618.744867627236,8536.62,8580.490891196874,9591.735025628335,7569.246756765413,2020-04-09 06:00:00,2020-04-09 06:00:00,7376.72,7600.96408812081,8339.682755018435,7017.163234024838,2020-04-09 08:30:00,2020-04-09 08:30:00,26851.599741204598,0.9329363624462323,136.5644029644849,0.01963613293297966
100,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-10,30628.836172827152,8115.61,8534.940187932023,9665.865365118118,7404.0150107459285,2020-04-10 06:00:00,2020-04-10 06:00:00,7201.84,7521.887968931859,8323.126326225214,7028.149646691497,2020-04-10 00:00:00,2020-04-10 08:30:00,297346.4686434919,0.1686667353264102,468.73996634088024,0.07039619559418037
101,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-11,30631.849593064642,8093.91,8225.331678969309,9106.862472220431,7343.800885718187,2020-04-11 06:00:00,2020-04-11 06:00:00,6881.91,6868.539612310727,7516.468744432419,6730.344548657253,2020-04-11 00:00:00,2020-04-11 00:00:00,404318.56861241005,0.27135930044691603,520.7223886272392,0.08751375085641834
102,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-12,30889.144764075947,8122.55,8361.43213311402,9541.808734168582,7181.055532059457,2020-04-12 06:00:00,2020-04-12 06:00:00,6729.58,6945.3552498306235,7785.935226158502,6628.455807383053,2020-04-12 00:00:00,2020-04-12 08:30:00,502568.09673877084,0.11649432465676501,629.6772148101116,0.10426507127807305
103,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-13,30587.216392212507,8237.26,7975.919242928684,8966.621298091603,6985.2171877657665,2020-04-13 06:00:00,2020-04-13 06:00:00,6776.14,6808.270660258621,7153.759351642502,6671.4109048837245,2020-04-13 00:00:00,2020-04-13 00:00:00,47740.136726326855,0.9085639369608025,187.61925754234994,0.02960991211549263
104,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-14,31408.63840753132,8753.41,8302.34248660889,9801.08622018312,6803.59875303466,2020-04-14 06:00:00,2020-04-14 06:00:00,7078.4,7023.251221288359,7487.654733003649,6867.1198053974,2020-04-14 08:00:00,2020-04-14 00:00:00,116566.79392777769,0.7809566157324861,288.22897646299845,0.04046876890054844
105,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-15,30700.409134059428,8805.66,8659.494528962736,9731.665644186003,7587.3234137394675,2020-04-15 06:00:00,2020-04-15 06:00:00,7188.45,7210.888450130071,7568.053767990638,7070.502146338362,2020-04-15 00:00:00,2020-04-15 00:00:00,21145.130722518585,0.9586537269427353,121.52711386233936,0.01700750491882708
106,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-16,30507.045812087268,8675.58,8671.503920383622,9706.509856878063,7636.497983889182,2020-04-16 06:00:00,2020-04-16 06:00:00,7213.45,7150.186116575529,7826.836772875528,7015.315481736887,2020-04-16 09:30:00,2020-04-16 00:00:00,27798.044283415522,0.9380473666228164,127.95784186515311,0.01809429978913696
107,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-17,30553.888833613917,8478.38,9037.62323479341,10105.627165726195,7969.619303860623,2020-04-17 06:00:00,2020-04-17 06:00:00,7254.58,7253.411794914664,7859.282927354939,7116.762954595873,2020-04-17 00:00:00,2020-04-17 00:00:00,161255.0899949458,0.5832649221164151,352.2625927732506,0.04983935378561385
108,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-18,30475.424318307178,8132.82,8345.988465254515,9427.287495402978,7264.689435106053,2020-04-18 06:00:00,2020-04-18 06:00:00,7096.27,7061.042565257338,7446.465651870744,6928.638491403073,2020-04-18 00:00:00,2020-04-18 00:00:00,89787.70697018398,0.7953241199039419,259.5926303417729,0.04056850520308667
109,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-19,30448.115965717105,8267.96,8141.796176386837,9176.284671841064,7107.30768093261,2020-04-19 06:00:00,2020-04-19 06:00:00,6862.94,6847.448165470694,7314.254676229654,6713.594558440607,2020-04-19 00:00:00,2020-04-19 00:00:00,53281.66804942861,0.8983855795027135,180.21783920700918,0.029108847476802136
110,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-20,30397.644544402636,8868.11,8197.387475067348,9215.15365438213,7179.621295752566,2020-04-20 06:00:00,2020-04-20 06:00:00,7450.86,6880.693173378419,7426.83314211023,6748.444072274583,2020-04-20 09:00:00,2020-04-20 00:00:00,331826.77976824925,0.43821725884676843,508.76412706751984,0.0689851682456109
111,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-21,30423.39746776156,8685.43,8919.152367514056,9940.877758769602,7897.426976258509,2020-04-21 06:00:00,2020-04-21 06:00:00,7362.42,7352.201413813877,7952.767758178717,7219.070729771864,2020-04-21 00:00:00,2020-04-21 00:00:00,55080.02538228577,0.8739261573077499,205.1557946193321,0.029648475756014345
112,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-22,30476.22460999301,8632.97,8747.591498676193,9689.76727981934,7805.4157175330465,2020-04-22 06:00:00,2020-04-22 06:00:00,7202.22,7236.43014857173,7657.661784905112,7103.697062536893,2020-04-22 00:00:00,2020-04-22 00:00:00,7925.880130721955,0.9830725612473845,75.9778018613477,0.010978262783376597
113,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-23,30310.150820648076,8756.95,8623.51050787849,9618.238624165699,7628.782391591282,2020-04-23 06:00:00,2020-04-23 06:00:00,7287.59,7263.737067666316,7767.618186667362,7133.285967049378,2020-04-23 00:00:00,2020-04-23 00:00:00,6280.8779610212105,0.9863325024869978,62.65902737536783,0.008797741282262269
114,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-24,30313.713167147722,8492.38,8778.8998338858,9764.563552000647,7793.236115770954,2020-04-24 06:00:00,2020-04-24 06:00:00,7238.05,7163.52112517678,7695.604826152741,7033.217209541406,2020-04-24 00:00:00,2020-04-24 00:00:00,21538.08607012522,0.945776345709956,105.07746033785219,0.01439078889867418
115,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-25,30445.05882381841,8071.34,8626.967698714623,9450.719846072418,7803.21555135683,2020-04-25 06:00:00,2020-04-25 06:00:00,7174.63,7153.825035372865,7638.324017150984,7023.033977074261,2020-04-25 00:00:00,2020-04-25 00:00:00,306194.340796651,0.313745171263058,489.7626644008299,0.07724192135807079
116,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-26,30216.014839561267,8191.68,8111.000537188205,9051.170144485215,7170.830929891195,2020-04-26 06:00:00,2020-04-26 06:00:00,6679.46,6696.275786201972,7130.413199347095,6568.64681973767,2020-04-26 00:00:00,2020-04-26 00:00:00,60251.46791987999,0.8915969403171031,185.6537472611282,0.029216598214071476
117,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-27,30433.7835245793,8876.89,8107.923286533231,9137.295126361787,7078.551446704673,2020-04-27 06:00:00,2020-04-27 06:00:00,7311.55,6712.990431840946,7231.008675441125,6583.616072854086,2020-04-27 08:30:00,2020-04-27 00:00:00,463929.72587219236,0.2614892507566149,625.3132591125296,0.08537614643372297
118,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-28,30927.80206239138,8769.32,8887.563613897488,10316.700656972213,7458.426570822763,2020-04-28 06:00:00,2020-04-28 06:00:00,7380.54,7289.958000781338,8234.215989096732,7145.626565974586,2020-04-28 09:00:00,2020-04-28 00:00:00,28123.660347075725,0.9383559047676674,138.47927958171678,0.019381520286585074
119,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-29,30382.536675793377,8852.97,8887.52528671925,9889.439660338268,7885.610913100232,2020-04-29 05:30:00,2020-04-29 06:00:00,7504.21,7198.957404483319,7733.487817080199,7067.26775703291,2020-04-29 09:00:00,2020-04-29 00:00:00,74626.86738657905,0.8656136642105148,193.18767746085965,0.02586625216099504
120,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-04-30,30294.59955199817,9471.04,8853.4204772808,9833.842397919401,7878.753485363766,2020-04-30 05:30:00,2020-04-30 05:30:00,8244.03,7499.993506014091,8315.126140033575,7085.3034086822745,2020-04-30 11:30:00,2020-04-30 12:00:00,256664.81399870254,0.7114326291072267,418.934881143764,0.05124613432928828
121,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-05-01,30167.20241237269,9826.56,9355.14720959177,10254.331683954302,8455.96273522924,2020-05-01 06:00:00,2020-05-01 06:00:00,8008.42,7893.1438617362,8560.393881374092,7726.2344318006435,2020-05-01 08:30:00,2020-05-01 08:30:00,109558.39815396501,0.8779494509387463,288.7738497323567,0.038498689273810095
122,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-05-02,29977.002995616454,9186.82,9379.419045036833,10126.025824979659,8632.812265094008,2020-05-02 06:00:00,2020-05-02 06:00:00,7830.59,7840.959475657088,8418.705030979272,7718.893452394765,2020-05-02 00:00:00,2020-05-02 00:00:00,341960.73204080237,0.5396959636654712,490.6126705535535,0.07204635192496783
