,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
151,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-05-31,30597.437930974676,9239.52,9569.606936913955,10849.706567818066,8289.507306009844,2020-05-31 06:00:00,2020-05-31 05:30:00,7678.66,8381.639192815954,9268.97632229048,7518.094543954945,2020-05-31 09:30:00,2020-05-31 08:30:00,200277.45274225576,0.7676692216372323,356.1796705861528,0.05027132533607893
152,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-01,30281.053460740844,10238.38,9885.418666423811,10851.059239231128,8920.90796670896,2020-06-01 05:30:00,2020-06-01 05:30:00,8818.94,8461.507126135766,9160.106494705273,7915.928453481411,2020-06-01 08:30:00,2020-06-01 08:30:00,128773.67141719512,0.8999481179813682,292.92293655209755,0.03914249233965162
153,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-02,30255.457536727172,11588.33,10032.876318383067,11078.67674370829,8987.075893057843,2020-06-02 05:30:00,2020-06-02 05:30:00,10168.95,8871.64465293382,9598.033403908288,8145.255901959355,2020-06-02 08:30:00,2020-06-02 08:30:00,978343.667641848,0.4878359064019483,868.3835999822604,0.09105502421321206
154,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-03,30723.43400439825,11001.07,11364.969176353057,12618.86100333013,10111.077349375984,2020-06-03 06:00:00,2020-06-03 05:30:00,9980.18,9841.422614957504,10709.63255833501,8978.10237706412,2020-06-03 08:00:00,2020-06-03 08:30:00,229060.2170503178,0.844203632034374,361.03283776810946,0.04347145854735001
155,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-04,30320.619888914156,11241.11,10967.551587940441,12042.54296529595,9894.429843274425,2020-06-04 06:00:00,2020-06-04 05:30:00,10080.57,9622.592070896724,10366.260230801976,8878.923910991472,2020-06-04 08:00:00,2020-06-04 08:30:00,69384.00513707112,0.9552062963070447,223.77537470802494,0.02474529192685414
156,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-05,30542.22057139687,10731.79,11205.537047002108,12417.595605156692,9996.282586308538,2020-06-05 06:00:00,2020-06-05 06:00:00,10380.27,9875.646791337182,10705.33808683099,9045.955495843373,2020-06-05 08:00:00,2020-06-05 08:30:00,124174.50790798139,0.9029600373608628,285.34306053676164,0.03276766263525093
157,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-06,30383.03855056129,10146.86,11123.90315117559,12207.0456793511,10045.636501313817,2020-06-06 06:00:00,2020-06-06 06:00:00,9076.62,9978.498728032617,10721.16865399743,9245.732145830898,2020-06-06 08:30:00,2020-06-06 08:30:00,705149.4553249866,0.32491108850313755,749.5351895736675,0.09295540832189451
158,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-07,31054.085134742254,10356.92,10026.895658407266,11395.245769352121,8658.54554746241,2020-06-07 05:30:00,2020-06-07 06:00:00,8892.33,9328.928239550385,10263.544431133478,8394.312047967293,2020-06-07 09:30:00,2020-06-07 08:30:00,149179.50026644915,0.8662650917700914,288.810054790699,0.03472792488436874
159,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-08,30459.184595579423,10470.07,10265.628385564523,11384.383534842025,9150.57307432593,2020-06-08 05:30:00,2020-06-08 06:00:00,8145.39,9071.828874652412,9838.368931793299,8305.288817511526,2020-06-08 08:30:00,2020-06-08 08:30:00,163503.86997855952,0.8769930960796164,297.1433021347624,0.038892511094394434
160,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-06-09,30467.324637911228,10836.23,10246.132222212495,11367.485620738982,9138.634180828876,2020-06-09 05:30:00,2020-06-09 06:00:00,9870.27,8843.36214138125,9612.884773128579,8073.839509633924,2020-06-09 08:30:00,2020-06-09 08:30:00,425619.68469060474,0.6722345904309253,571.5419357910965,0.06505416672180614
