,eval_date,aic,peak_actual,peak_predicted,time_of_peak_actual,time_of_peak_predicted,mse,r2,mae,mape
78,2020-05-15,-17617.42027754592,9.234427923505242,9.217489206900812,2020-05-15 18:00:00,2020-05-15 18:00:00,0.00042859194318879045,0.9690935736559034,0.016070932261655308,0.0017764531617056642
79,2020-05-16,-17646.356844673188,9.13303159038535,9.232600024562107,2020-05-16 18:30:00,2020-05-16 18:00:00,0.008154079995808578,0.20618680686297053,0.07856433758442387,0.008793728844104334
80,2020-05-17,-17592.022884316633,9.13903876598299,9.194291596269037,2020-05-17 18:30:00,2020-05-17 18:30:00,0.004003130254278881,0.6852934092956748,0.05572235032792513,0.006254854117535573
81,2020-05-18,-17622.953127068642,9.22398979334434,9.167391974481799,2020-05-18 18:00:00,2020-05-18 18:30:00,0.006032105190307089,0.6358345410264971,0.06218764712721917,0.006892457779374306
82,2020-05-19,-17615.028887892273,9.18216926643803,9.191723959547328,2020-05-19 18:00:00,2020-05-19 18:00:00,0.00023428692432955303,0.9800587231932235,0.012134573125092585,0.0013508507534833816
83,2020-05-20,-17641.587766245582,9.143690824188969,9.186239916024585,2020-05-20 18:00:00,2020-05-20 18:00:00,0.0006407379557337292,0.9370298381160491,0.020820703894211496,0.002321040261998522
84,2020-05-21,-17650.394357921934,9.220829171690355,9.172018057461518,2020-05-21 18:00:00,2020-05-21 18:00:00,0.002393277125541647,0.8616507567058398,0.039806815907608595,0.004391853131254032
85,2020-05-22,-17669.223503060253,9.27629757381024,9.204103909625392,2020-05-22 18:00:00,2020-05-22 18:00:00,0.004381289534874072,0.7421277932307218,0.055782304074399734,0.006117118628523975
86,2020-05-23,-17660.3124094674,9.213639922467467,9.222574285746784,2020-05-23 18:00:00,2020-05-23 18:00:00,0.0021860848194551895,0.8477030834176318,0.03357644236899989,0.0037579166058347136
87,2020-05-24,-17662.473227422917,9.20399025257738,9.209971979298253,2020-05-24 18:30:00,2020-05-24 18:00:00,0.0027040847156391055,0.852348312873585,0.04130760329642025,0.004643141257557362
88,2020-05-25,-17695.629658392725,9.319115850006805,9.22715417732722,2020-05-25 18:00:00,2020-05-25 18:00:00,0.006621745324105988,0.745808679809178,0.07091639837229842,0.007795624834999658
89,2020-05-26,-17670.846067377563,9.258591343188167,9.27295942252999,2020-05-26 18:00:00,2020-05-26 18:00:00,0.001140398809989348,0.9200036492407212,0.02624993142023746,0.00290539793302561
90,2020-05-27,-17657.916213922632,9.22656897298369,9.253009708753176,2020-05-27 18:00:00,2020-05-27 18:00:00,0.0007039086947969996,0.9522723067383155,0.022527695273185655,0.0025016889190951166
91,2020-05-28,-17673.149984975884,9.202880617062329,9.274681372835802,2020-05-28 18:30:00,2020-05-28 18:00:00,0.003807140415493432,0.716756419832365,0.04647772255027405,0.005168255616669531
92,2020-05-29,-17729.136653601243,9.224767794394294,9.237198097463018,2020-05-29 18:00:00,2020-05-29 18:00:00,0.00026175844536211276,0.9802460431247568,0.010934020204418951,0.0012110045202087594
93,2020-05-30,-17789.65676642036,9.13531397820241,9.21609606973507,2020-05-30 18:30:00,2020-05-30 18:00:00,0.007434764558420533,0.34365128701913505,0.07476182532297855,0.008379300179503875
94,2020-05-31,-17797.955831783293,9.131353440108512,9.160179439927033,2020-05-31 18:30:00,2020-05-31 18:30:00,0.003305685845137881,0.7903161439992068,0.04767845474159823,0.005383018979135091
95,2020-06-01,-17794.618025290052,9.233996349885462,9.162097322754228,2020-06-01 18:00:00,2020-06-01 18:00:00,0.004319252623529475,0.7917607653221883,0.056837137387266,0.006308709869453766
96,2020-06-02,-17757.97049358049,9.35784012620726,9.18842254205762,2020-06-02 18:00:00,2020-06-02 18:00:00,0.018431255247381696,0.26727109305604635,0.12170296635493465,0.0132991525364858
97,2020-06-03,-17738.343684452026,9.305838715894712,9.26726458282684,2020-06-03 18:30:00,2020-06-03 18:00:00,0.0017273190847319896,0.912103143961294,0.03525180172239525,0.003877101306440591
98,2020-06-04,-17728.994622223094,9.327421828249962,9.305244371550305,2020-06-04 18:30:00,2020-06-04 18:00:00,0.0004166423763364913,0.9790044039275485,0.014802412286025524,0.0016183556604599505
99,2020-06-05,-17760.71453599428,9.281058820465086,9.345519233683284,2020-06-05 18:30:00,2020-06-05 18:30:00,0.0019234373413840183,0.8844688076065526,0.03162152485467425,0.003486621240423982
100,2020-06-06,-17809.403954317946,9.225018124802173,9.288286426067565,2020-06-06 18:30:00,2020-06-06 18:30:00,0.00410117753982766,0.7325436419376755,0.05510312491145367,0.006119320078442329
101,2020-06-07,-17792.349100118983,9.245506723455266,9.24365160587605,2020-06-07 18:00:00,2020-06-07 18:30:00,0.0015168854366731193,0.9076069659056546,0.029939449591441198,0.0033216025819553705
102,2020-06-08,-17781.770951029423,9.256371495395477,9.255166647184637,2020-06-08 18:00:00,2020-06-08 18:30:00,0.003539423583937567,0.8203051744921105,0.047665195573213325,0.005334708979063087
103,2020-06-09,-17793.204293928095,9.290742707283641,9.278162588404896,2020-06-09 18:00:00,2020-06-09 18:30:00,0.004838894414063689,0.729976904220196,0.05438332476783958,0.006003457953285503
104,2020-06-10,-17752.428742328928,9.283227384776582,9.274183363691971,2020-06-10 18:00:00,2020-06-10 18:00:00,0.00308140230736266,0.8188552402287644,0.038628963714301245,0.004249273004271624
105,2020-06-11,-17741.37110996303,9.24644662484447,9.279135960179993,2020-06-11 18:30:00,2020-06-11 18:00:00,0.0010462355516006284,0.9274558468332936,0.027101220526401404,0.0029995074784812305
106,2020-06-12,-17748.716225266864,9.25560241487688,9.256529126210344,2020-06-12 18:00:00,2020-06-12 18:00:00,0.0005723886294993226,0.9600579321138372,0.016627980508041224,0.0018355842677876856
107,2020-06-13,-17774.694051797087,9.159117601417558,9.243587456645507,2020-06-13 18:00:00,2020-06-13 18:00:00,0.008802233099435626,0.16903575250790925,0.08660643351164965,0.009676702224672352
108,2020-06-14,-17756.45884393638,9.169222500355282,9.190673377315925,2020-06-14 18:30:00,2020-06-14 18:00:00,0.0052842985754059215,0.7326344892391449,0.0590860768569765,0.006675276208173524
109,2020-06-15,-17698.74122334084,9.265688036287163,9.181153889677057,2020-06-15 18:00:00,2020-06-15 18:00:00,0.011102820344996912,0.48859756675868793,0.08505820669097501,0.009389642425419035
110,2020-06-16,-17626.320135096525,9.248624107841774,9.229264230241814,2020-06-16 18:30:00,2020-06-16 18:00:00,0.0011725405956211248,0.9322226799436715,0.026747680258354056,0.002960053695340935
