,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
185,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-04,29922.645207860263,10619.09,10261.313675678975,11249.540601423987,9273.086749933964,2020-07-04 06:00:00,2020-07-04 06:00:00,9228.98,9208.500929361384,10142.414666062128,8274.58719266064,2020-07-04 09:00:00,2020-07-04 08:30:00,77680.6379432189,0.9419503798190287,234.20790607572462,0.027521561662659507
186,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-05,29883.4478014328,10738.32,10611.783607981924,11603.644305249185,9619.922910714664,2020-07-05 06:00:00,2020-07-05 06:00:00,8720.33,9132.657101711258,10070.381214221154,8407.20242510933,2020-07-05 09:00:00,2020-07-05 08:30:00,54293.886135108616,0.9646051980834536,192.69832465982412,0.024627215536182634
187,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-06,29869.12784980155,11452.33,10777.34898008866,11774.91853489605,9779.779425281271,2020-07-06 05:30:00,2020-07-06 06:00:00,10355.87,9472.754314728722,10418.107344827642,8527.401284629801,2020-07-06 08:30:00,2020-07-06 08:30:00,423067.18113249604,0.7656188840061623,585.6203459447534,0.06389555240014705
188,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-07,29868.61567597336,11444.93,11057.964457944589,12050.831662408533,10065.097253480644,2020-07-07 06:00:00,2020-07-07 06:00:00,10328.11,10082.156774808187,11016.460922154483,9147.85262746189,2020-07-07 08:30:00,2020-07-07 08:30:00,151290.7054746929,0.8932873903608685,293.57951805182444,0.0318152551868617
189,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-08,29858.945373790553,11346.82,11049.525310015248,12051.372498283856,10047.67812174664,2020-07-08 05:30:00,2020-07-08 06:00:00,9960.82,9977.11560975897,10917.352011344123,9036.879208173817,2020-07-08 08:30:00,2020-07-08 08:30:00,206221.28823696767,0.8492530442887518,323.2306121901486,0.035448839558112406
190,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-09,29874.268267094714,11130.64,10948.702107851364,11944.542929022999,9952.86128667973,2020-07-09 06:00:00,2020-07-09 06:00:00,10327.23,9860.255083710334,10800.167961913017,8920.34220550765,2020-07-09 08:30:00,2020-07-09 08:30:00,41913.08019466818,0.968389801125356,163.50161841888936,0.017448562885897297
191,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-10,29874.63976590781,10791.27,11318.90479209047,12310.220975609429,10327.588608571512,2020-07-10 05:30:00,2020-07-10 05:30:00,9978.59,10212.162739016057,11147.74636183367,9276.579116198445,2020-07-10 08:30:00,2020-07-10 08:30:00,107740.45506424218,0.9004264589829972,280.1956427822917,0.030564402487196992
192,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-11,29846.026573896375,10202.43,10912.821690817247,11897.864419715388,9927.778961919106,2020-07-11 05:30:00,2020-07-11 05:30:00,9122.55,9639.088368813129,10579.852487857359,8698.324249768899,2020-07-11 09:30:00,2020-07-11 09:00:00,198074.96751072412,0.7889298453774455,372.52379638285834,0.043035606982475716
193,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-12,29914.957998476853,10627.94,10735.875696293893,11718.061089740779,9753.690302847008,2020-07-12 06:00:00,2020-07-12 06:00:00,8445.98,9247.802114185411,10195.366737539804,8300.23749083102,2020-07-12 09:30:00,2020-07-12 09:30:00,208425.60394305456,0.8480117602462017,383.80843857992244,0.04942019960306785
194,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-13,29933.30877579896,11461.61,10955.468851012294,11927.283003838395,9983.654698186194,2020-07-13 06:00:00,2020-07-13 05:30:00,10072.7,9487.381746720755,10406.336435294812,8568.427058146699,2020-07-13 08:30:00,2020-07-13 08:30:00,196839.44058596596,0.9151567066880752,358.414820679529,0.043986250401405906
195,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-14,30195.490936414277,11668.99,11159.487834445608,12131.727472865243,10187.248196025974,2020-07-14 06:00:00,2020-07-14 05:30:00,10351.93,9759.51648537736,10689.943561100275,8829.089409654445,2020-07-14 09:30:00,2020-07-14 09:00:00,164897.1639414686,0.9022663030678376,365.76500566874023,0.03904280402874527
196,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-15,30275.392476552643,11517.67,11247.693303468172,12250.523643521396,10244.862963414947,2020-07-15 06:00:00,2020-07-15 05:30:00,10016.27,9784.944972138212,10749.286777331321,8820.603166945102,2020-07-15 08:30:00,2020-07-15 09:30:00,72613.78073719291,0.95089776100066,229.46021221800243,0.025137686795514157
197,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-16,30264.491043828388,11402.02,11325.826420235564,12317.574949820715,10334.077890650413,2020-07-16 06:00:00,2020-07-16 06:00:00,10072.25,10022.840597348404,10964.214611230935,9081.466583465874,2020-07-16 08:30:00,2020-07-16 08:30:00,16969.06372220807,0.9883135447834256,107.55824587571875,0.011910937676109406
198,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-17,30290.704517546674,10966.79,11418.667571342492,12431.307231065546,10406.027911619438,2020-07-17 06:00:00,2020-07-17 06:00:00,10006.81,10174.780697475595,11138.133033915194,9211.428361035996,2020-07-17 08:30:00,2020-07-17 08:30:00,71135.5602042963,0.9362275378746693,227.89762219150376,0.02475558487046788
199,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-07-18,30238.241045783314,10198.37,10831.80795653077,11908.532719825189,9755.083193236353,2020-07-18 06:00:00,2020-07-18 06:00:00,8806.71,9339.626910867286,10370.944528157233,8349.363611672417,2020-07-18 00:00:00,2020-07-18 09:00:00,463969.2396944111,0.5202776710052028,580.8580902167038,0.07172606387516205
