,rainfall,pv_capacity,solar_power,peak_demand,date,prev_demand_min,prev_demand_max,prev_demand_mean,prev_demand_std,prev_temp_min,prev_temp_max,prev_temp_mean,prev_temp_std,max_temp,min_temp,prev_solar_min,prev_solar_max,prev_solar_mean,prev_solar_std,prev_peak_time
2217,0.6,325413,316.55,9201.38,2016-01-27,5847.58,8300.79,7335.990208333334,796.0683326157201,19.7,26.8,23.1375,2.539779266669497,24.2,19.4,0.0,966.95,307.2651041666667,363.26125741805487,17:00:00
2218,0.0,325413,0.0,10423.7,2016-01-28,6028.36,9201.38,8039.442916666667,1043.5923145639028,19.4,24.2,22.254166666666666,1.5684330618498015,28.9,21.5,0.0,573.5,162.97291666666666,190.14924180320398,10:00:00
2219,0.0,325413,434.73,10196.71,2016-01-29,6171.63,10423.7,8643.651458333334,1360.080541147643,21.5,28.9,24.222916666666666,2.378470774878338,28.6,20.2,0.0,813.3,228.52416666666667,282.91296158971045,16:00:00
2220,33.6,325413,0.0,8943.8,2016-01-30,6383.55,10196.71,8599.538958333333,1171.6324041272576,20.2,28.6,23.683333333333334,2.3781213158516117,26.7,18.8,0.0,784.55,239.45697916666666,268.9089632648771,11:00:00
2221,25.4,325413,0.0,8823.53,2016-01-31,6085.94,8943.8,7700.915208333333,905.5069442735464,18.8,26.7,21.989583333333332,2.540249575888447,29.0,18.2,0.0,957.22,299.21489583333334,362.2309169393069,15:30:00
2222,0.0,327841,0.0,9149.42,2016-02-01,5905.48,8823.53,7432.373541666667,927.6980273946208,18.2,29.0,23.514583333333334,3.9367331517136677,25.1,16.7,0.0,1046.43,332.8888541666667,396.48866072465876,18:00:00
2223,1.2,327841,0.0,9503.13,2016-02-02,6035.31,9149.42,8040.475416666667,1055.440893092829,16.7,25.1,21.381249999999998,2.0647658411363263,25.9,14.8,0.0,591.1,197.8559375,225.5770754410295,17:00:00
2224,0.0,327841,0.0,10422.29,2016-02-03,5989.89,9503.13,8104.04375,1098.4337457017039,14.8,25.9,20.760416666666668,3.74226803362092,29.8,16.8,0.0,1000.55,339.16322916666667,390.2679944240849,17:00:00
2225,1.2,327841,241.85,8760.57,2016-02-04,6114.79,10422.29,8539.184583333334,1362.0315632609143,16.8,29.8,23.46875,4.183206357034271,23.5,19.0,0.0,1005.05,315.5959375,380.26020515444725,16:00:00
2226,0.4,327841,302.835,8515.99,2016-02-05,6114.96,8760.57,7867.440625,859.4633672819346,19.0,23.5,21.2625,1.3075273073915021,23.8,20.1,0.0,402.48,120.43697916666667,147.3433340251192,10:00:00
2227,0.2,327841,0.0,7886.29,2016-02-06,5882.65,8515.99,7675.847708333334,857.8117667380246,20.1,23.8,21.7375,1.1847658894338393,25.4,19.6,0.0,680.45,199.67999999999998,244.32439109955888,10:30:00
2228,1.6,327841,0.0,8462.74,2016-02-07,5780.37,7886.29,7191.521041666667,687.6533356470771,19.6,25.4,22.18541666666667,1.7670735012628216,25.8,17.5,0.0,863.47,270.53125,321.8734613109266,17:30:00
2229,0.0,327841,0.0,10179.18,2016-02-08,5812.47,8462.74,7254.8341666666665,850.7788390216053,17.5,25.8,21.735416666666666,2.9515585196698133,27.4,16.8,0.0,907.38,289.2402083333333,340.1033429880656,17:30:00
2230,0.0,327841,0.0,9857.29,2016-02-09,5961.05,10179.18,8362.762499999999,1334.7797635190611,16.8,27.4,22.289583333333336,3.5911972509227996,25.1,19.3,0.0,949.17,308.04322916666666,359.3599726071659,17:00:00
2231,0.0,327841,0.0,10506.08,2016-02-10,6274.25,9857.29,8400.131458333333,1137.504605684367,19.3,25.1,22.275000000000002,2.114941777781188,28.2,17.9,0.0,891.72,268.3833333333333,319.24424261346354,17:00:00
2232,0.0,327841,0.0,10207.79,2016-02-11,6142.9,10506.08,8561.47,1340.9009747323987,17.9,28.2,22.972916666666666,3.4564610842522674,27.8,17.2,0.0,1019.53,335.3313541666667,391.29828630285704,16:30:00
2233,0.0,327841,0.0,10666.96,2016-02-12,6206.13,10207.79,8562.655625,1284.083370422398,17.2,27.8,23.006249999999998,3.468914003215144,28.4,18.8,0.0,957.88,301.1714583333333,358.94614499143324,16:00:00
2234,0.0,327841,0.0,9924.05,2016-02-13,6333.57,10666.96,8790.548958333333,1373.3820141274166,18.8,28.4,24.058333333333334,3.1728793107471627,29.6,18.6,0.0,950.55,309.28020833333335,364.8514409783772,16:00:00
2235,0.0,327841,0.0,10419.81,2016-02-14,6237.97,9924.05,8192.058125,1177.4316718787625,18.6,29.6,24.264583333333334,3.275667194233244,35.9,18.9,0.0,1015.42,331.470625,389.8844022743603,17:00:00
2236,0.0,327841,0.0,11389.48,2016-02-15,6005.09,10419.81,8193.130208333334,1535.2289017706353,18.9,35.9,24.964583333333334,4.381027256556967,28.1,22.0,0.0,990.9,315.49343749999997,376.64260790788876,17:00:00
2237,0.0,327841,0.0,9721.02,2016-02-16,6360.32,11389.48,9121.582083333333,1636.5558902768407,22.0,28.1,24.516666666666666,1.7915087345863787,25.6,17.1,0.0,916.92,276.2852083333333,339.60406704447337,16:00:00
2238,0.0,327841,0.0,8995.27,2016-02-17,6443.17,9721.02,8454.725833333334,1081.4705821592595,17.1,25.6,22.104166666666668,2.198448034151651,23.2,17.6,0.0,938.58,306.1877083333333,364.7627013566758,16:00:00
2239,0.0,327841,0.0,9645.84,2016-02-18,6144.0,8995.27,7998.106875,907.7826359149801,17.6,23.2,20.410416666666666,1.580094204481321,26.5,14.9,0.0,912.75,268.91895833333336,330.41656922281754,17:00:00
2240,0.0,327841,0.0,11446.13,2016-02-19,6134.86,9645.84,8259.624166666666,1092.5732644947211,14.9,26.5,21.766666666666666,3.4506449186507067,30.3,18.2,0.0,857.83,266.7284375,320.9711777428865,17:00:00
2241,0.0,327841,0.0,9019.13,2016-02-20,6328.87,11446.13,9057.845,1574.3534030968249,18.2,30.3,24.70625,3.9909688606663565,27.5,22.6,0.0,966.45,304.2163541666667,368.1544907498719,16:30:00
2242,2.8,327841,0.0,9251.29,2016-02-21,6507.09,9019.13,7977.969791666666,810.6378755541426,22.6,27.5,24.479166666666668,1.2184675295498766,27.4,20.2,0.0,667.83,204.82895833333336,249.57034263368735,16:00:00
2243,1.4,327841,0.0,11323.26,2016-02-22,6046.86,9251.29,7709.046666666666,1049.6603082990414,20.2,27.4,23.027083333333334,2.284148855242976,29.6,18.9,0.0,795.17,238.31291666666664,295.51819013717306,17:30:00
2244,0.0,327841,0.0,11687.88,2016-02-23,6235.92,11323.26,9009.062083333332,1660.273674610326,18.9,29.6,23.87291666666667,3.599629979999026,30.0,17.1,0.0,955.95,300.6227083333334,363.6542378501021,16:00:00
2245,0.0,327841,0.0,12399.8,2016-02-24,6328.07,11687.88,9182.966041666667,1682.8867895030853,17.1,30.0,23.929166666666664,4.0835403044955605,30.8,19.1,0.0,983.88,317.08947916666665,379.2117113748887,17:00:00
2246,0.0,327841,0.0,13458.63,2016-02-25,6458.21,12399.8,9502.744583333333,1881.6265761879663,19.1,30.8,24.995833333333334,3.981176899303284,37.7,19.2,0.0,977.25,315.3653125,377.2077366825847,16:30:00
2247,0.0,327841,0.0,10404.54,2016-02-26,6531.25,13458.63,10090.796875,2296.4376515211707,19.2,37.7,27.785416666666666,6.008610473536708,26.6,22.7,0.0,964.08,309.69666666666666,371.521336587438,17:00:00
2248,2.2,327841,0.0,8872.12,2016-02-27,6871.48,10404.54,8986.681458333334,1150.4292582835549,22.7,26.6,24.53125,1.0547070279910051,26.7,19.7,0.0,538.28,170.15916666666666,203.4236422307882,15:30:00
2249,0.0,327841,0.0,9122.6,2016-02-28,6294.97,8872.12,7893.466041666667,852.926734023302,19.7,26.7,23.472916666666666,2.085383742770122,28.0,18.0,0.0,789.05,246.08666666666667,299.0782853509089,17:30:00
2250,0.0,327841,0.0,9914.98,2016-02-29,6099.3,9122.6,7694.491041666667,999.1674633801963,18.0,28.0,22.83125,3.2793458253976784,26.2,17.6,0.0,871.05,279.10625,335.8691212607812,17:00:00
2251,0.2,330267,0.0,10539.38,2016-03-01,6169.72,9914.98,8526.144583333333,1272.8515666115015,17.6,26.2,21.895833333333332,2.623215367682994,28.8,18.7,0.0,901.9,255.56708333333333,315.4683199234981,16:00:00
2252,0.8,330267,0.0,11159.26,2016-03-02,6364.39,10539.38,8756.931666666665,1302.7689748743,18.7,28.8,23.28125,3.132374277927411,29.8,17.1,0.0,841.25,255.67458333333332,317.96493585091065,16:30:00
2253,0.0,330267,0.0,11607.13,2016-03-03,6467.18,11159.26,8968.617291666667,1465.7614308491168,17.1,29.8,23.672916666666666,4.144298292031273,30.1,19.3,0.0,884.28,269.2991666666667,329.04721416915584,16:00:00
2254,0.0,330267,0.0,10783.12,2016-03-04,6521.0,11607.13,9221.229583333334,1619.3816063389008,19.3,30.1,24.493750000000002,3.466705238806144,28.7,19.2,0.0,915.53,284.94958333333335,349.6744733880132,15:30:00
2255,0.0,330267,0.0,9820.14,2016-03-05,6522.29,10783.12,8908.3025,1357.021823105697,19.2,28.7,23.952083333333334,3.039386107061988,28.4,17.2,0.0,854.75,260.2295833333333,318.4054909378875,16:00:00
2256,0.0,330267,0.0,9759.57,2016-03-06,6282.82,9820.14,8153.919791666667,1126.7733927392253,17.2,28.4,23.10625,3.8358003547763166,28.9,16.7,0.0,942.97,291.2504166666667,359.98054082283295,16:00:00
2257,0.0,330267,0.0,11701.21,2016-03-07,6104.42,9759.57,7937.019583333334,1225.898393833714,16.7,28.9,23.077083333333334,3.9816194493844246,29.9,18.6,0.0,870.47,284.18583333333333,343.81998745529444,17:00:00
2258,0.0,330267,0.0,10875.53,2016-03-08,6358.78,11701.21,9131.95375,1707.4265543415754,18.6,29.9,24.175,3.5364063981344036,29.2,18.8,0.0,916.95,284.4470833333333,352.3475035068111,16:00:00
2259,0.0,330267,0.0,12191.08,2016-03-09,6434.37,10875.53,9020.233333333334,1449.0717202656872,18.8,29.2,24.34583333333333,2.8660862434005563,32.0,20.5,0.0,891.55,275.03125,340.36534827737495,15:30:00
2260,0.0,330267,0.0,11287.87,2016-03-10,6616.7,12191.08,9508.890833333333,1746.4300098575968,20.5,32.0,25.489583333333332,3.2096423598298593,27.7,20.1,0.0,905.7,280.39208333333335,347.1425407229858,16:00:00
2261,0.0,330267,0.0,10588.9,2016-03-11,6662.09,11287.87,9309.31,1521.8861664045764,20.1,27.7,24.344583333333333,2.4036859623656652,28.6,23.6,0.0,845.8,240.15041666666664,307.5104227983337,15:00:00
2262,0.0,330267,0.0,10208.39,2016-03-12,6740.68,10588.9,9018.65875,1257.41532464565,23.6,28.6,25.749166666666667,1.1110122532854259,30.9,19.5,0.0,869.35,203.36666666666667,287.3311120621386,14:00:00
2263,0.0,330267,0.0,9717.22,2016-03-13,6367.99,10208.39,8365.156874999999,1235.2769882459659,19.5,30.9,25.006249999999998,3.467073463925347,28.6,20.3,0.0,872.97,262.53791666666666,334.910257939686,15:30:00
2264,0.0,330267,0.0,10708.77,2016-03-14,6174.9,9717.22,8011.663125,1187.550837045144,20.3,28.6,24.59375,2.209207641724816,30.8,19.9,0.0,779.83,231.86791666666667,292.44025368137505,17:00:00
2265,1.2,330267,0.0,9342.42,2016-03-15,6365.16,10708.77,8816.188541666666,1445.9972838899025,19.9,30.8,23.78125,2.874144183445576,24.9,19.6,0.0,736.78,188.34041666666667,254.12031920490222,14:00:00
