,rainfall,solar_exposure,min_temperature,max_temperature,peak_power
2010-06-13,0.0,10.5,5.2,16.5,10991.36
2010-06-14,0.0,10.5,3.0,18.0,11532.19
2010-06-15,0.0,10.3,4.1,19.0,12095.6
2010-06-16,0.0,10.2,5.0,19.6,11616.31
2010-06-17,0.0,3.1,12.7,17.4,11839.86
2010-06-18,0.0,10.4,5.1,17.3,11528.12
2010-06-19,0.0,10.1,3.1,19.3,10864.03
2010-06-20,0.0,10.1,4.6,18.8,10903.94
2010-06-21,0.0,7.8,4.9,16.8,12119.29
2010-06-22,0.0,7.7,10.6,17.0,11953.04
2010-06-23,0.2,5.1,8.4,15.4,11786.99
2010-06-24,18.8,9.2,9.7,18.0,11362.0
2010-06-25,0.0,6.6,9.5,18.4,11018.5
2010-06-26,3.4,5.8,9.1,19.0,10593.48
2010-06-27,0.0,8.9,3.9,14.8,11560.79
2010-06-28,0.0,10.6,2.7,15.4,12829.69
2010-06-29,0.0,10.9,-0.3,13.9,13176.33
2010-06-30,0.0,10.6,-0.5,15.7,13037.62
2010-07-01,0.0,9.8,1.6,16.9,12744.95
2010-07-02,0.0,4.4,3.2,12.1,12908.12
2010-07-03,0.8,10.6,6.3,15.1,11682.35
2010-07-04,0.0,10.4,6.5,16.9,11411.94
2010-07-05,0.0,5.0,7.4,14.2,12386.49
2010-07-06,0.6,8.4,8.3,16.8,12195.8
2010-07-07,0.0,5.0,8.2,16.0,12168.86
2010-07-08,0.0,7.0,6.3,15.2,12158.8
2010-07-09,0.6,8.2,6.7,16.6,11570.54
2010-07-10,1.4,7.3,4.6,17.3,10856.63
2010-07-11,0.0,5.3,9.5,20.0,10589.15
2010-07-12,0.6,6.7,6.3,16.9,11579.28
2010-07-13,0.0,2.9,8.0,16.5,11449.75
2010-07-14,2.8,10.9,12.2,18.3,11364.2
2010-07-15,0.0,11.1,9.3,17.0,11661.01
2010-07-16,0.0,10.2,5.1,16.1,11537.79
2010-07-17,0.0,11.4,5.0,18.3,10948.32
2010-07-18,0.0,11.6,2.8,19.0,10978.81
